19 окт. 2025 14:54:17,479 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,1), value : 
19 окт. 2025 14:54:17,488 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,1)
19 окт. 2025 14:54:21,836 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1382, SID: name(le)]
19 окт. 2025 14:54:21,839 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1382, SID: name(le)]
19 окт. 2025 14:54:22,550 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,2), value : 1
19 окт. 2025 14:54:22,558 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,2)
19 окт. 2025 14:54:23,448 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:54:23,450 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:54:25,814 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1385, SID: _NEW_Main_legalEntites_le()]
19 окт. 2025 14:54:25,821 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1385, SID: _NEW_Main_legalEntites_le()]
19 окт. 2025 14:54:26,681 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,3), value : о
19 окт. 2025 14:54:26,691 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,3)
19 окт. 2025 14:54:27,908 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,4), value : 
19 окт. 2025 14:54:27,918 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,4)
19 окт. 2025 14:54:30,508 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:54:30,512 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.legalEntites, TID - (90),5,RMI Runtime], indices : (-1,0,5), value : 
19 окт. 2025 14:54:30,512 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.legalEntites, TID - (90),5,RMI Runtime], indices : (-1,0,5)
19 окт. 2025 14:54:30,516 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:54:34,577 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1382, SID: name(le)]
19 окт. 2025 14:54:34,587 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1382, SID: name(le)]
19 окт. 2025 14:54:35,774 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,6), value : 1
19 окт. 2025 14:54:35,775 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,6)
19 окт. 2025 14:54:36,498 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:54:36,502 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:54:38,379 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1370, SID: formApply()]
19 окт. 2025 14:54:38,480 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1370, SID: formApply()]
19 окт. 2025 14:54:41,694 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues started: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,7), value : 
19 окт. 2025 14:54:41,694 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - getAsyncValues ended: Thread[RMI:Main.legalEntites, TID - (86),5,RMI Runtime], indices : (-1,0,7)
19 окт. 2025 14:54:43,433 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:54:43,437 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1383, SID: inn(le)]
19 окт. 2025 14:55:09,159 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 1370, SID: formApply()]
19 окт. 2025 14:55:09,241 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction ended: [ID: 1370, SID: formApply()]
19 окт. 2025 16:18:12,518 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[424541526 - Chat.fullChat,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]
19 окт. 2025 16:18:14,761 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM HIDE : FORM[424541526 - Chat.fullChat,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]
19 окт. 2025 16:18:14,761 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[424541526 - Chat.fullChat,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]]
19 окт. 2025 16:18:15,717 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT UNREFERENCED RF[FORM[424541526 - Chat.fullChat,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]]
19 окт. 2025 16:18:19,827 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[424541526 - Chat.fullChat,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]]
19 окт. 2025 16:18:24,835 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[424541526 - Chat.fullChat,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]]
19 окт. 2025 16:18:24,835 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM CLOSE : FORM[424541526 - Chat.fullChat,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]
19 окт. 2025 16:49:05,627 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@400e009a
19 окт. 2025 16:49:38,652 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[798053183 - Authentication.reloginLoginUser,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1074659482,SQL@1239447103]]
19 окт. 2025 16:49:41,216 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM HIDE : FORM[798053183 - Authentication.reloginLoginUser,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1074659482,SQL@1239447103]]
19 окт. 2025 16:49:41,218 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[798053183 - Authentication.reloginLoginUser,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1074659482,SQL@1239447103]]]
19 окт. 2025 16:49:44,736 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[606339660 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1074659482,SQL@1239447103]]
19 окт. 2025 16:49:44,987 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT UNREFERENCED RF[FORM[798053183 - Authentication.reloginLoginUser,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1074659482,SQL@1239447103]]]
19 окт. 2025 16:49:46,280 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[798053183 - Authentication.reloginLoginUser,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1074659482,SQL@1239447103]]]
19 окт. 2025 16:49:46,833 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[943560362 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1074659482,SQL@1239447103]]
