19 окт. 2025 14:54:26,691 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@738152173
19 окт. 2025 14:54:27,908 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1653204522
19 окт. 2025 14:54:27,918 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1653204522
19 окт. 2025 16:48:49,943 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@132133298
19 окт. 2025 16:48:52,722 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@761863997
19 окт. 2025 16:48:52,722 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@132133298
19 окт. 2025 16:48:53,189 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1970707120
19 окт. 2025 16:49:01,311 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@830217190
19 окт. 2025 16:49:01,312 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2116377319
19 окт. 2025 16:49:02,014 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@467527574
19 окт. 2025 16:49:02,188 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1773305638
19 окт. 2025 16:49:02,188 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1828732375
19 окт. 2025 16:49:02,188 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1169676227
19 окт. 2025 16:49:02,188 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@978232009
19 окт. 2025 16:49:02,228 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@242887356
19 окт. 2025 16:49:04,931 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1239447103
19 окт. 2025 16:49:05,634 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@122823471
19 окт. 2025 16:49:05,739 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@122823471
19 окт. 2025 16:49:06,291 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@842382381
19 окт. 2025 16:49:08,539 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@842382381
19 окт. 2025 16:49:09,672 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@476227998
19 окт. 2025 16:49:09,728 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@476227998
19 окт. 2025 16:49:09,732 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION OPEN SQL@1516000698
19 окт. 2025 16:49:09,760 admin - dilpkn - 172.20.10.3  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1516000698
