19 окт. 2025 13:55:34,221 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 2704, Current connections count : 3
19 окт. 2025 13:55:37,106 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 6448, Current connections count : 3
19 окт. 2025 13:55:37,151 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 6448, Current connections count : 3
19 окт. 2025 13:55:37,214 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 60204, Time : 101, Current connections count : 4
19 окт. 2025 13:55:37,222 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 60204, Current connections count : 4
19 окт. 2025 13:55:37,226 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 60204, Current connections count : 4
19 окт. 2025 13:55:37,277 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 60204, Current connections count : 4
19 окт. 2025 13:55:37,799 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 2704, Current connections count : 4
19 окт. 2025 13:55:42,306 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 47612, Current connections count : 4
19 окт. 2025 13:55:42,364 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 47612, Current connections count : 4
19 окт. 2025 13:55:42,369 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 47612, Current connections count : 4
19 окт. 2025 13:55:42,372 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 47612, Current connections count : 4
19 окт. 2025 13:55:42,653 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 47612, Current connections count : 4
19 окт. 2025 13:55:42,677 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 47612, Current connections count : 4
19 окт. 2025 13:55:42,685 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 47612, Current connections count : 4
